ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Abraham Lincoln Birthplace NHP,1993,293710,0,293710,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1994,279542,0,279542,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1995,268509,0,268509,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1996,249344,0,249344,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1997,262889,0,262889,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1998,250842,0,250842,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1999,251204,0,251204,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2000,236180,0,236180,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2001,229675,0,229675,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2002,250772,0,250772,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2003,211650,0,211650,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2004,201828,0,201828,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2005,190809,0,190809,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2006,200054,0,200054,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2007,202950,0,202950,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2008,200404,0,200404,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2009,221111,0,221111,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2010,177122,0,177122,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2011,163568,0,163568,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2012,169515,0,169515,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2013,163928,0,163928,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2014,241264,0,241264,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2015,148605,0,148605,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2016,252495,0,252495,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2017,269580,0,269580,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2018,260964,0,260964,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2019,238226,0,238226,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2020,228141,0,228141,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2021,251188,0,251188,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2022,265707,0,265707,0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2023,239950,0,239950,0,0,0,0,0,0,0,0
Acadia NP,1993,2656034,252576,14140929,252576,0,0,130287,32094,0,0,10518
Acadia NP,1994,2710749,252576,14431349,252576,0,0,129483,29025,0,0,10511
Acadia NP,1995,2845378,252576,15169080,252576,0,0,129351,29616,0,0,10476
Acadia NP,1996,2704831,252576,14442606,252576,0,0,108939,35526,0,0,9512
Acadia NP,1997,2760306,252576,14702522,252576,0,0,115935,28512,0,0,10286
Acadia NP,1998,2594497,252576,13838352,252576,0,0,135507,23544,0,0,11111
Acadia NP,1999,2602227,252576,13910921,252576,0,0,125046,23682,0,0,10218
Acadia NP,2000,2469238,252576,13230679,252576,0,0,114033,22692,0,0,9747
Acadia NP,2001,2516551,252576,13467741,252576,0,0,118545,24747,0,0,10382
Acadia NP,2002,2558572,252576,13683657,252576,0,0,122340,22545,0,0,11262
Acadia NP,2003,2431062,34500,13012171,34500,0,0,117369,21876,0,0,9693
Acadia NP,2004,2207847,34500,11822104,34500,0,0,101577,19878,0,0,8618
Acadia NP,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378
Acadia NP,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300
Acadia NP,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352
Acadia NP,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698
Acadia NP,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212
Acadia NP,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549
Acadia NP,2011,2374645,47100,12101384,47100,0,0,117879,27519,1157,0,7243
Acadia NP,2012,2431052,47100,12458831,47100,0,0,124482,26760,1316,0,8083
Acadia NP,2013,2254922,47100,11347331,47100,0,0,114753,29025,1166,0,7047
Acadia NP,2014,2563129,47100,13085317,47100,0,0,126474,33369,1230,0,8474
Acadia NP,2015,2811184,47100,14452151,47100,0,0,135000,32094,1233,0,8343
Acadia NP,2016,3303393,47100,22698596,47100,0,977,152811,46629,1324,0,8563
Acadia NP,2017,3509271,47100,24014370,47100,0,1657,152586,55812,1597,0,10889
Acadia NP,2018,3537575,47100,23613754,47100,0,1364,144744,58215,1472,0,11698
Acadia NP,2019,3437286,47100,23195664,47100,0,1090,140985,57696,1284,0,11674
Acadia NP,2020,2669034,47100,14264234,47100,0,307,0,0,0,0,0
Acadia NP,2021,4069098,47100,26042074,47100,0,1607,107758,40672,1612,0,0
Acadia NP,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,2023,3879890,47100,25804425,47100,0,1603,120615,49074,1570,0,9600
Adams NHP,1993,43877,690,50517,348,0,0,0,0,0,0,0
Adams NHP,1994,41179,1061,44591,535,0,0,0,0,0,0,0
Adams NHP,1995,47312,1407,44389,707,0,0,0,0,0,0,0
Adams NHP,1996,38230,1305,35280,655,0,0,0,0,0,0,0
Adams NHP,1997,56643,1063,52125,534,0,0,0,0,0,0,0
Adams NHP,1998,63569,947,58943,475,0,0,0,0,0,0,0
Adams NHP,1999,84574,984,76985,493,0,0,0,0,0,0,0
Adams NHP,2000,87347,1411,77664,709,0,0,0,0,0,0,0
Adams NHP,2001,167500,2255,151073,1130,0,0,0,0,0,0,0
Adams NHP,2002,173944,2946,156764,1475,0,0,0,0,0,0,0
Adams NHP,2003,215659,3141,192381,1571,0,0,0,0,0,0,0
Adams NHP,2004,239504,2022,199477,1014,0,0,0,0,0,0,0
Adams NHP,2005,220467,2439,182457,1222,0,0,0,0,0,0,0
Adams NHP,2006,225318,2593,186479,1299,0,0,0,0,0,0,0
Adams NHP,2007,224880,2614,187888,1310,0,0,0,0,0,0,0
Adams NHP,2008,241536,3598,218668,1801,0,0,0,0,0,0,0
Adams NHP,2009,253656,3507,243357,1755,0,0,0,0,0,0,0
Adams NHP,2010,73339,1834,87431,919,0,0,0,0,0,0,0
Adams NHP,2011,219975,2475,278448,1239,0,0,0,0,0,0,0
Adams NHP,2012,336031,1458,406022,726,0,0,0,0,0,0,0
Adams NHP,2013,285501,1174,443617,586,0,0,0,0,0,0,0
Adams NHP,2014,178468,1194,210593,597,0,0,0,0,0,0,0
Adams NHP,2015,183632,1016,218988,507,0,0,0,0,0,0,0
Adams NHP,2016,199301,947,212705,474,0,0,0,0,0,0,0
Adams NHP,2017,255562,1036,254438,517,0,0,0,0,0,0,0
Adams NHP,2018,121007,495,120485,248,0,0,0,0,0,0,0
Adams NHP,2019,187400,0,187043,0,0,0,0,0,0,0,0
Adams NHP,2020,6937,0,6056,0,0,0,0,0,0,0,0
Adams NHP,2021,20679,22,19784,11,0,0,0,0,0,0,0
Adams NHP,2022,12848,127,12460,63,0,0,0,0,0,0,0
Adams NHP,2023,25229,939,24624,468,0,0,0,0,0,0,0
African Burial Ground NM,2010,117113,0,57657,0,0,0,0,0,0,0,0
African Burial Ground NM,2011,108585,0,54996,0,0,0,0,0,0,0,0
African Burial Ground NM,2012,77624,0,43878,0,0,0,0,0,0,0,0
African Burial Ground NM,2013,93234,0,54711,0,0,0,0,0,0,0,0
African Burial Ground NM,2014,54861,0,34407,0,0,0,0,0,0,0,0
African Burial Ground NM,2015,56348,0,36820,0,0,0,0,0,0,0,0
African Burial Ground NM,2016,46526,0,32801,0,0,0,0,0,0,0,0
